"date","price","source"
"2018-05-12","82.48","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-13","82.48","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-14","82.65","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-15","82.79","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-16","82.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-17","83.16","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-18","83.45","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-19","83.75","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-20","84.07","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-21","84.4","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-22","84.7","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-23","84.99","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-24","85.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-25","85.65","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-26","85.78","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-27","85.93","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-28","86.08","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-29","86.24","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-30","86.23","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-05-31","86.16","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-01","86.1","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-02","86.01","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-03","85.92","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-04","85.77","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-05","85.65","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-06","85.54","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-07","85.45","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-08","85.24","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-09","84.84","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-10","84.61","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-11","84.41","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-12","84.26","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-13","84.26","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-14","84.26","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-15","84.18","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-16","84.18","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-17","84.18","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-18","84.18","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-19","84.06","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-20","84.06","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-21","83.92","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-22","83.74","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-23","83.61","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-24","83.44","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-25","83.3","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-26","83.12","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-27","83.12","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-28","83.12","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-29","83.06","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-06-30","82.99","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-01","82.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-02","82.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-03","82.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-04","82.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-05","83.1","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-06","83.24","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-07","83.37","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-08","83.52","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-09","83.75","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-10","83.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-11","83.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-12","83.97","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-13","84.14","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-14","84.33","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-15","84.33","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-16","84.22","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-17","84.22","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-18","84.22","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-19","84.22","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-20","84.06","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-21","83.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-22","83.82","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-23","83.75","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-24","83.68","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-25","83.68","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-26","83.68","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-27","83.68","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-28","83.61","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-29","83.61","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-30","83.7","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-07-31","83.76","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-01","83.76","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-02","83.87","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-03","83.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-04","84.14","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-05","84.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-06","84.41","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-07","84.5","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-08","84.5","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-09","84.5","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-10","84.57","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-11","84.67","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-12","84.67","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-13","84.58","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-14","84.58","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-15","84.58","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-16","84.63","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-17","84.63","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-18","84.71","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-19","84.82","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-20","84.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-21","85","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-22","85","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-23","85","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-24","85.09","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-25","85.09","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-26","85.2","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-27","85.33","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-28","85.47","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-29","85.6","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-30","85.72","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-08-31","85.93","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-01","86.09","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-02","86.25","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-03","86.56","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-04","86.72","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-05","86.72","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-06","86.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-07","87.39","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-08","87.77","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-09","87.89","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-10","88.12","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-11","88.26","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-12","88.26","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-13","88.39","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-14","88.67","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-15","89.01","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-16","89.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-17","89.44","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-18","89.54","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-19","89.54","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-20","89.6","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-21","89.69","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-22","89.8","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-23","89.97","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-24","90.08","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-25","90.22","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-26","90.22","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-27","90.35","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-28","90.57","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-29","90.75","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-09-30","90.84","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-01","91.08","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-02","91.2","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-03","91.2","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-04","91.34","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-05","86.97","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-06","87.15","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-07","87.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-08","87.5","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-09","87.73","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-10","87.73","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-11","87.82","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-12","87.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-13","88.12","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-14","88.18","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-15","88.18","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-16","88.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-17","88.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-18","88.08","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-19","87.84","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-20","87.46","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-21","87.21","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-22","86.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-23","86.81","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-24","86.73","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-25","86.58","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-26","86.33","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-27","85.93","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-28","85.54","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-29","85.24","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-30","85.04","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-10-31","85.04","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-01","84.86","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-02","84.68","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-03","84.49","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-04","84.28","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-05","84.06","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-06","83.92","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-07","83.92","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-08","83.72","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-09","83.57","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-10","83.4","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-11","83.24","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-12","83.07","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-13","82.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-14","82.94","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-15","82.8","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-16","82.62","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-17","82.43","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-18","82.23","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-19","82.04","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-20","81.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-21","81.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-22","81.5","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-23","81.1","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-24","80.79","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-25","80.38","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-26","80.03","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-27","79.62","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-28","79.12","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-29","78.8","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-11-30","78.43","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-01","78.09","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-02","77.8","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-03","77.5","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-04","77.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-05","77.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-06","76.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-07","76.5","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-08","76.28","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-09","76.13","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-10","75.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-11","75.8","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-12","75.8","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-13","75.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-14","75.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-15","75.96","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-16","75.96","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-17","76.15","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-18","76.25","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-19","76.25","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-20","76.25","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-21","76.08","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-22","75.89","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-23","75.69","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-24","75.48","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-25","75.41","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-26","75.41","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-27","75.36","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-28","75.18","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-29","74.89","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-30","74.67","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2018-12-31","74.47","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-01","74.3","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-02","74.3","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-03","74.3","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-04","74.1","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-05","73.95","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-06","73.95","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-07","74.16","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-08","74.16","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-09","74.16","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-10","74.53","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-11","74.72","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-12","74.91","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-13","75.39","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-14","75.77","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-15","76.05","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-16","75.97","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-17","76.11","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-18","76.18","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-19","76.35","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-20","76.58","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-21","76.77","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-22","76.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-23","76.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-24","76.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-25","76.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-26","76.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-27","76.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-28","76.9","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-29","76.82","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-30","76.82","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-01-31","76.72","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-01","76.57","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-02","76.47","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-03","76.37","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-04","76.22","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-05","76.08","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-06","76.08","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-07","76.08","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-08","76.02","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-09","75.92","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-10","75.92","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-11","75.97","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-12","75.97","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-13","75.97","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-14","76.03","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-15","76.1","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-16","76.23","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-17","76.39","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-18","76.54","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-19","76.64","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-20","76.64","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-21","76.79","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-22","76.93","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-23","76.99","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-24","77.06","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-25","77.2","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-26","77.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
"2019-02-27","77.29","Daily Retail Selling Price of Petrol (in 2018-19).xlsx"
